restaurant_name,compliant,business_address,street_number,street_name,city,postcode
Uncle Louie GAS Italian Ices & Ice Cream,1,319 7th Ave,319,7th Ave,Brooklyn,11215
Just Salad,1,252 7th Ave,252,7th Ave,Brooklyn,11215
Chocolateria,1,228 7th Ave,228,7th Ave,Brooklyn,11215
Front Street Pizza,1,80 Front St,80,Front St,Brooklyn,11201
Sweetgreen,1,50 Washington St,50,Washington St,Brooklyn,11201
Sweetgreen,1,127 Court St,127,Court St,Brooklyn,11201
Bareburger,1,149 Court St,149,Court St,Brooklyn,11201
Negril,1,256 5th Ave,256,5th Ave,Brooklyn,11215
Chu Tea,1,471 5th Ave,471,5th Ave,Brooklyn,11215
SAW SHACK,0,8422 37TH AVE,8422,37TH AVE,Queens,
LA ABUNDANCIA RESTAURANT & BAKERY,1,8116 ROOSEVELT AVE,8116,ROOSEVELT AVE,Queens,
PANDA CAFE,1,8331 BROADWAY,8331,BROADWAY,Queens,
EIM KHAO MUN KAI,1,8132 BROADWAY,8132,BROADWAY,Queens,
QUEENS SWEET YUMMY HOUSE,0,8313 BROADWAY,8313,BROADWAY,Queens,
EAST 21 FOREVER,1,7126 ROOSEVELT AVE,7126,ROOSEVELT AVE,Queens,
AUTENTICO TACOS AL SUADERO,1,8721 ROOSEVELT AVE,8721,ROOSEVELT AVE,Queens,
RIKO,1,7814 ROOSEVELT AVE,7814,ROOSEVELT AVE,Queens,
POLLERIA AZOGUENITA,1,9123 37TH AVE,9123,37TH AVE,Queens,
HAPPY KITCHEN,1,8012 37TH AVE,8012,37TH AVE,Queens,
TIBETAN JAPANESE RESTAURANT,1,7526 37TH AVE,7526,37TH AVE,Queens,
AREPA LADY,1,7717 37TH AVE,7717,37TH AVE,Queens,
KFC,1,8715 NORTHERN BLVD,8715,NORTHERN BLVD,Queens,
KFC,1,9015 QUEENS BLVD,9015,QUEENS BLVD,Queens,
KFC,1,5717 QUEENS BLVD,5717,QUEENS BLVD,Queens,
KFC,1,17546 HILLSIDE AVE,17546,HILLSIDE AVE,Queens,
KFC,1,15203 NORTHERN BLVD,15203,NORTHERN BLVD,Queens,
KFC,1,15805 UNION TPKE,15805,UNION TPKE,Queens,
DUNKIN' DONUTS,1,9502 37TH AVE,9502,37TH AVE,Queens,
HIBINO LIC,1,1070 JACKSON AVE,1070,JACKSON AVE,Queens,
K-TOWN FOOD COURT,1,46-40 FRANCIS LEWIS BOULEVARD,46-40,FRANCIS LEWIS BOULEVARD,Queens,
ASIAN GOURMET,1,5711 MAIN ST,5711,MAIN ST,Queens,
EIM KHAO MUN KAI,1,8132 BROADWAY,8132,BROADWAY,Queens,
DYLAN'S CANDY BAR,1,JFK JFK AIRPORT,JFK,JFK AIRPORT,Queens,
DUNKIN' DONUTS,1,8611 LEFFERTS BLVD,8611,LEFFERTS BLVD,Queens,
THE GLOBE TAVERN,1,4910 SKILLMAN AVE,4910,SKILLMAN AVE,Queens,
TWIST AND SMASH'D SPORTS,1,3402 STEINWAY ST,3402,STEINWAY ST,Queens,
DUNKIN' DONUTS,1,5914 BEACH CHANNEL DR,5914,BEACH CHANNEL DR,Queens,
The Blvd Restaurant and Lounge,1,1911 FRANCIS LEWIS BLVD,1911,FRANCIS LEWIS BLVD,Queens,
OVOSODO,1,11060 QUEENS BLVD,11060,QUEENS BLVD,Queens,
NUNOODLE,1,8910 QUEENS BLVD,8910,QUEENS BLVD,Queens,
TITO RADS GRILL,1,4910 QUEENS BLVD,4910,QUEENS BLVD,Queens,
QDOBA MEXICAN GRILL,1,NKA JFK INTERNATIONAL AIRPORT,NKA,JFK INTERNATIONAL AIRPORT,Queens,
HASHI RAMEN & IZAKAYA,1,19212 NORTHERN BLVD,19212,NORTHERN BLVD,Queens,
MCDONALD'S,1,2248 31ST ST,2248,31ST ST,Queens,
SUBWAY,1,25919 UNION TPKE,25919,UNION TPKE,Queens,
DUNKIN' DONUTS,1,5109 BROADWAY,5109,BROADWAY,Queens,
DUNKIN' DONUTS,1,12117 LIBERTY AVE,12117,LIBERTY AVE,Queens,
NEW YORK SHAKE & BURGER,1,14701 LIBERTY AVE,14701,LIBERTY AVE,Queens,
"DUNKIN' DONUTS, BASKIN ROBBINS",1,14401 LIBERTY AVE,14401,LIBERTY AVE,Queens,
HOWARD JOHNSON LIC,1,3861 12TH ST,3861,12TH ST,Queens,
SUBWAY,1,13011 N CONDUIT AVE,13011,N CONDUIT AVE,Queens,
Hampton Inn JFK,1,14410 135TH AVE,14410,135TH AVE,Queens,
SUBWAY,1,13721 LIBERTY AVE,13721,LIBERTY AVE,Queens,
GYRO WORLD,1,6657 FRESH POND RD,6657,FRESH POND RD,Queens,
DUNKIN' DONUTS,1,16910 HILLSIDE AVE,16910,HILLSIDE AVE,Queens,
BURGER KING,1,4015 QUEENS BLVD,4015,QUEENS BLVD,Queens,
DUNKIN' DONUTS,1,9403 CORONA AVE,9403,CORONA AVE,Queens,
DUNKIN' DONUTS,1,13344 150TH ST,13344,150TH ST,Queens,
SUBWAY,1,2527B PARSONS BLVD,2527B,PARSONS BLVD,Queens,
SHANGHAI DUMPLING,1,24911 NORTHERN BLVD,24911,NORTHERN BLVD,Queens,
DUNKIN' DONUTS,1,3105 QUEENS BLVD,3105,QUEENS BLVD,Queens,
TOSKANA PIZZERIA RESTAURANT,1,24825 NORTHERN BLVD,24825,NORTHERN BLVD,Queens,
PAPA JOHN'S,1,10303 101ST AVE,10303,101ST AVE,Queens,
DUNKIN' DONUTS,1,16601 NORTHERN BLVD,16601,NORTHERN BLVD,Queens,
SUBWAY,1,8020 JAMAICA AVE,8020,JAMAICA AVE,Queens,
IHOP,1,15517 NORTHERN BLVD,15517,NORTHERN BLVD,Queens,
MOO SHU,1,25313 NORTHERN BLVD,25313,NORTHERN BLVD,Queens,
BROWNY,1,19519 NORTHERN BLVD,19519,NORTHERN BLVD,Queens,
BUFFALO WILD WINGS GRILL & BAR,1,13415 20TH AVE,13415,20TH AVE,Queens,
POTATO CORNER,1,9015 QUEENS BLVD,9015,QUEENS BLVD,Queens,
DUNKIN DONUTS,1,8710 NORTHERN BLVD,8710,NORTHERN BLVD,Queens,
POPEYES,1,13344 WHITESTONE EXPY,13344,WHITESTONE EXPY,Queens,
WENDY'S,1,22006 NORTHERN BLVD,22006,NORTHERN BLVD,Queens,
WENDY'S,1,6902 NORTHERN BLVD,6902,NORTHERN BLVD,Queens,
WENDY'S,1,15533 JAMAICA AVE,15533,JAMAICA AVE,Queens,
WENDY'S,1,9013 METROPOLITAN AVE,9013,METROPOLITAN AVE,Queens,
WENDY'S,1,13350 WHITESTONE EXPY,13350,WHITESTONE EXPY,Queens,
WENDY'S,1,6111 FRESH POND RD,6111,FRESH POND RD,Queens,
WENDY'S,1,150TH AVENUE,150TH,AVENUE,Queens,
DUNKIN DONUTS,1,8707 ROCKAWAY BEACH BLVD,8707,ROCKAWAY BEACH BLVD,Queens,
DUNKIN DONUTS,1,3776 JUNCTION BLVD,3776,JUNCTION BLVD,Queens,
WENDY'S,1,7232 BROADWAY,7232,BROADWAY,Queens,
KOKI O,1,22140 HORACE HARDING EXPY,22140,HORACE HARDING EXPY,Queens,
DUNKIN DONUTS,1,8610 QUEENS BLVD,8610,QUEENS BLVD,Queens,
CARVEL ICE CREAM,1,16310 CROSSBAY BLVD,16310,CROSSBAY BLVD,Queens,
RED MANGO #0484,1,6115 SPRINGFIELD BLVD,6115,SPRINGFIELD BLVD,Queens,
SARITAS BAKERY,1,9412 CORONA AVE,9412,CORONA AVE,Queens,
THE CROWN ROOM,1,3917 BELL BLVD,3917,BELL BLVD,Queens,
MEETING CLUB,1,13659 37TH AVE,13659,37TH AVE,Queens,
Sushi Burrito,1,4235 MAIN ST,4235,MAIN ST,Queens,
THAI POT,1,10307 QUEENS BLVD,10307,QUEENS BLVD,Queens,
ICON,1,3184 33RD ST,3184,33RD ST,Queens,
CAFE 48,1,21209 48TH AVE,21209,48TH AVE,Queens,
IRIS TEA & BAKERY,1,18204 HORACE HARDING EXPY,18204,HORACE HARDING EXPY,Queens,
PRIVATE KITCHEN,1,3635 MAIN ST,3635,MAIN ST,Queens,
BROOKSIDE MARKET,1,4315 QUEENS BLVD,4315,QUEENS BLVD,Queens,
Ravel Garden Grill,1,818 QUEENS PLZ S,818,QUEENS PLZ S,Queens,
FIRST STOP BAR & GRILL,1,2708 QUEENS PLZ S,2708,QUEENS PLZ S,Queens,
LAI WANG KA MEI RESTAURANT,1,4624 KISSENA BLVD,4624,KISSENA BLVD,Queens,
CHINA HOUSE,1,20618 HILLSIDE AVE,20618,HILLSIDE AVE,Queens,
