restaurant_name,compliant,business_address,street_number,street_name,city,postcode
BURGER LODGE,1,657 E 189TH ST,657,E 189TH ST,Bronx,
BURGER KING,1,961 E 174TH ST,961,E 174TH ST,Bronx,
PIQUE 86 RESTAURANT,1,220 E 198TH ST,220,E 198TH ST,Bronx,
EL VALLE RESTAURANTE,1,3452 BOSTON RD,3452,BOSTON RD,Bronx,
CAPRI CAKES,1,306 E 149TH ST,306,E 149TH ST,Bronx,
SUBWAY,1,905 WHITE PLAINS RD,905,WHITE PLAINS RD,Bronx,
SALSA ZONE,1,370 E 146TH ST,370,E 146TH ST,Bronx,
DOMINICANA POLLO SABROSO,1,105 E MOUNT EDEN AVE,105,E MOUNT EDEN AVE,Bronx,
LATIN FUSION,1,789 ALLERTON AVE,789,ALLERTON AVE,Bronx,
CARVEL,1,2231A GRAND CONCOURSE,2231A,GRAND CONCOURSE,Bronx,
WINGSTOP,1,88 E BURNSIDE AVE,88,E BURNSIDE AVE,Bronx,
CHINA KING OGDEN RESTAURANT,1,1377 OGDEN AVE,1377,OGDEN AVE,Bronx,
BETTER GOURMET HEALTH KITCHEN,1,1135C MORRIS PARK AVE,1135C,MORRIS PARK AVE,Bronx,
BIARRITZ BAKERY,1,1015 E 167TH ST,1015,E 167TH ST,Bronx,
OASIS MIDDLE EASTERN RESTAURANT,1,1907 WHITE PLAINS RD,1907,WHITE PLAINS RD,Bronx,
JIMBO'S HAMBURGERS,1,228 WILLIS AVE,228,WILLIS AVE,Bronx,
SKYLINE BAR & LOUNGE,1,1511 WILKINSON AVE,1511,WILKINSON AVE,Bronx,
SUBWAY,1,507 E 161ST ST,507,E 161ST ST,Bronx,
CURRY & KEBAB,0,3111 BAINBRIDGE AVE,3111,BAINBRIDGE AVE,Bronx,
THE MILES COFFEE BAR,1,4039 E TREMONT AVE,4039,E TREMONT AVE,Bronx,
KINGSBRIDGE SOCIAL CLUB,1,3625 KINGSBRIDGE AVE,3625,KINGSBRIDGE AVE,Bronx,
KEANE'S BAR & RESTAURANT,1,4342 KATONAH AVE,4342,KATONAH AVE,Bronx,
BOSTON MARKET,1,5520 BROADWAY,5520,BROADWAY,Bronx,
VAYA,1,2022 EASTCHESTER RD,2022,EASTCHESTER RD,Bronx,
EL NUEVO VALLE III,1,268 E 167TH ST,268,E 167TH ST,Bronx,
BOSTON MARKET,1,925 HUNTS POINT AVE,925,HUNTS POINT AVE,Bronx,
LILI MEXICAN RESTAURANT,1,415 E 138TH ST,415,E 138TH ST,Bronx,
EL CARBONCITO RESTAURANT,1,1524 WATSON AVE,1524,WATSON AVE,Bronx,
LA PARRANDA BAR RESTAURANT,1,2712 WHITE PLAINS RD,2712,WHITE PLAINS RD,Bronx,
GIGI'S PIZZA & PASTA,0,2020 EASTCHESTER RD,2020,EASTCHESTER RD,Bronx,
DELFINI,1,500 TIFFANY ST,500,TIFFANY ST,Bronx,
GERBASI RESTAURANT,1,2389 ARTHUR AVE,2389,ARTHUR AVE,Bronx,
HOLIDAY INN EXPRESS BRONX,1,500 EXTERIOR ST,500,EXTERIOR ST,Bronx,
SUBWAY,1,3044 3RD AVE,3044,3RD AVE,Bronx,
BAGEL CORNER,1,581 W 235TH ST,581,W 235TH ST,Bronx,
ROLEN BAGEL,1,3601 RIVERDALE AVE,3601,RIVERDALE AVE,Bronx,
THE HUNTING CLUB,1,2503 WILLIAMSBRIDGE RD,2503,WILLIAMSBRIDGE RD,Bronx,
AMINAS CAFE,0,890 MORRIS AVE,890,MORRIS AVE,Bronx,
SAN JOSE TULCINGO DELI,1,109 E 153RD ST,109,E 153RD ST,Bronx,
SMOKEY ISLAND GRILL,1,260 E 161ST ST,260,E 161ST ST,Bronx,
CARLOS AND GABBY'S,1,5685 RIVERDALE AVE,5685,RIVERDALE AVE,Bronx,
SOFRA,1,2011A WILLIAMSBRIDGE RD,2011A,WILLIAMSBRIDGE RD,Bronx,
SUBWAY,1,1957 WESTCHESTER AVE,1957,WESTCHESTER AVE,Bronx,
DARY'S RESTAURANT BAR,1,517-519 E 180TH ST,517-519,E 180TH ST,Bronx,
BRONX TAVERN,1,780 E 133RD ST,780,E 133RD ST,Bronx,
BOSTON MARKET,1,880 WHITE PLAINS RD,880,WHITE PLAINS RD,Bronx,
DUNKIN DONUTS,1,513 E 138TH ST,513,E 138TH ST,Bronx,
Wendy's,1,387 E 149TH ST,387,E 149TH ST,Bronx,
FRESHLY MADE,1,2535 3RD AVE,2535,3RD AVE,Bronx,
EL BISCOCHITO,1,967 E 167TH ST,967,E 167TH ST,Bronx,
MOFON LOUNGE,1,894 E TREMONT AVE,894,E TREMONT AVE,Bronx,
VORFI PIZZA AND BUREK,1,769 ASTOR AVE,769,ASTOR AVE,Bronx,
JUANITO RESTAURANT,0,494 E 138TH ST,494,E 138TH ST,Bronx,
TULCINGO CAFE,1,3041 BUHRE AVE,3041,BUHRE AVE,Bronx,
ALWAYS HEALTHY (HERBAL LIFE),0,705 MELROSE AVE,705,MELROSE AVE,Bronx,
EL MACO RESTAURANT,1,1481 JEROME AVE,1481,JEROME AVE,Bronx,
LECHONERA POLLO SABROSO DEL,1,920 E 174TH ST,920,E 174TH ST,Bronx,
PORTOFINO CAFE,1,2008 WILLIAMSBRIDGE RD,2008,WILLIAMSBRIDGE RD,Bronx,
3 BROS 99C PIZZA,1,5 W FORDHAM RD,5,W FORDHAM RD,Bronx,
COM TAM NINH KIEU,0,2641 JEROME AVE,2641,JEROME AVE,Bronx,
FAMOSA PIZZA,1,621 E 187TH ST,621,E 187TH ST,Bronx,
MOTTLEY KITCHEN,1,402 E 140TH ST,402,E 140TH ST,Bronx,
GUN HILL TAVERN,1,2515 3RD AVE,2515,3RD AVE,Bronx,
VISTAMAR RESTAURANT,1,565 CITY ISLAND AVE,565,CITY ISLAND AVE,Bronx,
CUMIN INDIAN CUISINE,1,3549 JOHNSON AVE,3549,JOHNSON AVE,Bronx,
NO 1 CHINESE RESTAURANT,0,3706 THIRD AVE,3706,THIRD AVE,Bronx,
SHERIDAN MARKET,1,191 E 161ST ST,191,E 161ST ST,Bronx,
TASTE AND SABOR,1,318 W 231ST ST,318,W 231ST ST,Bronx,
LINCOLN GYRO,1,231B E 149TH ST,231B,E 149TH ST,Bronx,
MARKETTA,0,2344 ARTHUR AVE,2344,ARTHUR AVE,Bronx,
MOFONGUITO.COM,1,678 ALLERTON AVE,678,ALLERTON AVE,Bronx,
MARINELL BAKERY,1,264 E 167TH ST,264,E 167TH ST,Bronx,
EL CARIDAD RESTAURANT,1,90 E BURNSIDE AVE,90,E BURNSIDE AVE,Bronx,
LA DUENA,1,1250 MORRISON AVE,1250,MORRISON AVE,Bronx,
CARIDAD SEAFOOD RESTAURANT,1,410 E TREMONT AVE,410,E TREMONT AVE,Bronx,
Burger King,1,3261 WESTCHESTER AVE,3261,WESTCHESTER AVE,Bronx,
THE BRONX BREWERY-TAP ROOM,0,856 E 136TH ST,856,E 136TH ST,Bronx,
BAGELS AND CREAM,1,1728 EASTCHESTER RD,1728,EASTCHESTER RD,Bronx,
ALLURE RESTURANT & BAR,1,938 E 233RD ST,938,E 233RD ST,Bronx,
CAPTAINS PIZZERIA AND RESTAURANT,1,1056 MORRIS PARK AVE,1056,MORRIS PARK AVE,Bronx,
KENNEDY FRIED CHICKEN & PIZZERIA,1,952 LONGWOOD AVE,952,LONGWOOD AVE,Bronx,
Galaxy Coffee Shop,1,3150 BAINBRIDGE AVE,3150,BAINBRIDGE AVE,Bronx,
COUNTRY BAY PIZZA,1,3233 AMPERE AVE,3233,AMPERE AVE,Bronx,
MAMA INES COFFEE SHOP & BAKERY,1,3127 HULL AVE,3127,HULL AVE,Bronx,
ARBY'S,1,2059 BARTOW AVE,2059,BARTOW AVE,Bronx,
BOCA RESTAURANT & STEAK HOUSE,1,2458 WEBSTER AVE,2458,WEBSTER AVE,Bronx,
PARQ,1,4001 E TREMONT AVE,4001,E TREMONT AVE,Bronx,
FU XING,1,1270 MORRISON AVE,1270,MORRISON AVE,Bronx,
CLIPPER COFFEE,1,274 CITY ISLAND AVE,274,CITY ISLAND AVE,Bronx,
LA SABROSURA 1 RESTAURANT,0,25A E 170TH ST,25A,E 170TH ST,Bronx,
FLAMING DELICIOUS JERK CUISINE,1,3563B BOSTON RD,3563B,BOSTON RD,Bronx,
KENNEDY CHICKEN BURGER & ICE,1,3496 JEROME AVE,3496,JEROME AVE,Bronx,
Pizza Supreme,1,5959 BROADWAY,5959,BROADWAY,Bronx,
ARBYS,1,1905 STORY AVE,1905,STORY AVE,Bronx,
EL CLUB VALLE RESTAURANT,0,352 E GUN HILL RD,352,E GUN HILL RD,Bronx,
